No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,Time 2,Time 2,,Delay,,Delay 2,Delay 1,,Jitter
160,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
161,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
162,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
163,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
164,2.361626,192.168.1.6,118.98.109.82,UDP,88,61674  >  443 Len=46,,,,,,,,,,,,,,,,,,,,
165,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
166,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
167,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
168,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
169,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
170,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
171,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
172,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
173,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
174,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
175,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
176,2.362707,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
177,2.363861,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
178,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
179,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
180,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
181,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
182,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
183,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
184,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
185,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
186,2.364733,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
187,2.365398,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
188,2.365536,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
189,2.365536,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
190,2.365794,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
191,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
192,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
193,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
194,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
195,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
196,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
197,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
198,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
199,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
200,2.367737,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
201,2.368455,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
202,2.369656,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
203,2.369656,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
204,2.369656,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
205,2.369656,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
